Humidity,NDVI,Pheromone,CropMaturity,P(PestPop=High),P(PestPop=Low)
Low,Good,Low,Early,0.119203,0.880797
Low,Good,Low,Mid,0.197816,0.802184
Low,Good,Low,Late,0.377541,0.622459
Low,Good,Medium,Early,0.231475,0.768525
Low,Good,Medium,Mid,0.354344,0.645656
Low,Good,Medium,Late,0.574443,0.425557
Low,Good,High,Early,0.500000,0.500000
Low,Good,High,Mid,0.645656,0.354344
Low,Good,High,Late,0.817574,0.182426
Low,Moderate,Low,Early,0.154465,0.845535
Low,Moderate,Low,Mid,0.249740,0.750260
Low,Moderate,Low,Late,0.450166,0.549834
Low,Moderate,Medium,Early,0.289050,0.710950
Low,Moderate,Medium,Mid,0.425557,0.574443
Low,Moderate,Medium,Late,0.645656,0.354344
Low,Moderate,High,Early,0.574443,0.425557
Low,Moderate,High,Mid,0.710950,0.289050
Low,Moderate,High,Late,0.858149,0.141851
Low,Poor,Low,Early,0.268941,0.731059
Low,Poor,Low,Mid,0.401312,0.598688
Low,Poor,Low,Late,0.622459,0.377541
Low,Poor,Medium,Early,0.450166,0.549834
Low,Poor,Medium,Mid,0.598688,0.401312
Low,Poor,Medium,Late,0.785835,0.214165
Low,Poor,High,Early,0.731059,0.268941
Low,Poor,High,Mid,0.832018,0.167982
Low,Poor,High,Late,0.924142,0.075858
Medium,Good,Low,Early,0.197816,0.802184
Medium,Good,Low,Mid,0.310026,0.689974
Medium,Good,Low,Late,0.524979,0.475021
Medium,Good,Medium,Early,0.354344,0.645656
Medium,Good,Medium,Mid,0.500000,0.500000
Medium,Good,Medium,Late,0.710950,0.289050
Medium,Good,High,Early,0.645656,0.354344
Medium,Good,High,Mid,0.768525,0.231475
Medium,Good,High,Late,0.890903,0.109097
Medium,Moderate,Low,Early,0.249740,0.750260
Medium,Moderate,Low,Mid,0.377541,0.622459
Medium,Moderate,Low,Late,0.598688,0.401312
Medium,Moderate,Medium,Early,0.425557,0.574443
Medium,Moderate,Medium,Mid,0.574443,0.425557
Medium,Moderate,Medium,Late,0.768525,0.231475
Medium,Moderate,High,Early,0.710950,0.289050
Medium,Moderate,High,Mid,0.817574,0.182426
Medium,Moderate,High,Late,0.916827,0.083173
Medium,Poor,Low,Early,0.401312,0.598688
Medium,Poor,Low,Mid,0.549834,0.450166
Medium,Poor,Low,Late,0.750260,0.249740
Medium,Poor,Medium,Early,0.598688,0.401312
Medium,Poor,Medium,Mid,0.731059,0.268941
Medium,Poor,Medium,Late,0.869892,0.130108
Medium,Poor,High,Early,0.832018,0.167982
Medium,Poor,High,Mid,0.900250,0.099750
Medium,Poor,High,Late,0.956893,0.043107
High,Good,Low,Early,0.310026,0.689974
High,Good,Low,Mid,0.450166,0.549834
High,Good,Low,Late,0.668188,0.331812
High,Good,Medium,Early,0.500000,0.500000
High,Good,Medium,Mid,0.645656,0.354344
High,Good,Medium,Late,0.817574,0.182426
High,Good,High,Early,0.768525,0.231475
High,Good,High,Mid,0.858149,0.141851
High,Good,High,Late,0.937027,0.062973
High,Moderate,Low,Early,0.377541,0.622459
High,Moderate,Low,Mid,0.524979,0.475021
High,Moderate,Low,Late,0.731059,0.268941
High,Moderate,Medium,Early,0.574443,0.425557
High,Moderate,Medium,Mid,0.710950,0.289050
High,Moderate,Medium,Late,0.858149,0.141851
High,Moderate,High,Early,0.817574,0.182426
High,Moderate,High,Mid,0.890903,0.109097
High,Moderate,High,Late,0.952574,0.047426
High,Poor,Low,Early,0.549834,0.450166
High,Poor,Low,Mid,0.689974,0.310026
High,Poor,Low,Late,0.845535,0.154465
High,Poor,Medium,Early,0.731059,0.268941
High,Poor,Medium,Mid,0.832018,0.167982
High,Poor,Medium,Late,0.924142,0.075858
High,Poor,High,Early,0.900250,0.099750
High,Poor,High,Mid,0.942676,0.057324
High,Poor,High,Late,0.975873,0.024127
